Ингредиент,Единица измерения,Калорийность
Смесь Tempura Batter Mix,кг,341.8
Смесь Аграм,кг,161.6
Смесь Деревенская,кг,333.9
Смесь Папифарин,кг,379.9
Смесь Рогенколор,кг,321.0
Смесь Спортивная,кг,429.5
Смесь Фаворит,кг,370.0
Смесь для карамели Артистико (Изомальт Е 953),кг,372.0
Смесь для кляра Оттоги,кг,348.0
Смесь для крема сухая,кг,439.7
Смесь для мягкого мороженого Софткрим Ваниль,кг,445.7
Смесь тертых сыров (Италия),кг,370.5
Сметана 10% жирности,кг,113.6
Сметана 15% жирности,кг,159.8
Сметана 20% жирности,кг,204.0
Сметана 25% жирности,кг,246.2
Сметана 30% жирности,кг,292.0
Сметана 36% жирности,кг,344.0
Сметана 40% жирности,кг,380.0
Смородина красная,кг,33.4
Смородина черная,кг,35.0
Сода пищевая,кг,0.0
Соевая паста Широмису,кг,190.0
Соевый лецитин (Soy lecithin),кг,2.0
Сок Виноградный,л,56.4
Сок Вишневый,л,43.6
Сок Гранатовый,л,59.2
Сок Грейпфрутовый,л,33.2
Сок Клюквенный,кг,33.6
Сок Лимонный,л,12.4
Сок Манго,кг,65.2
Сок Мандариновый,л,39.2
Сок Мексиканский Микс,кг,18.0
Сок Морковный,л,28.5
Сок Персиковый,л,69.2
Сок Сливовый,л,65.6
Сок Томатный,л,18.0
Сок Черносмородиновый,л,33.6
Сок Яблочный,л,38.4
Сок абрикосовый,л,56.8
Сок ананасовый,кг,54.0
Сок апельсиновый,л,54.0
Сок концетрированный в ассортименте,кг,228.0
Солод,кг,200.0
Соль Малина & Чили,кг,0.0
Соль Морская,кг,0.0
Соль Морская Черный бархат,кг,0.0
Соль поваренная пищевая,кг,0.0
Сом,кг,114.7
Сорбетто из фруктов,кг,90.0
Сосиска Баварская,кг,318.0
Сосиска Венская,кг,228.0
Сосиски Молочные,кг,265.5
Сосиски говяжьи,кг,225.7
Соус Бальзамический белый,кг,12.0
Соус Бальзамический малиновый,кг,12.0
Соус Барбекю,кг,121.7
Соус Бешамель сухой Knorr,кг,175.0
Соус Бургер,кг,372.2
Соус Ворчестер,кг,68.5
Соус Голландский сухой (Hollandaise),кг,526.0
Соус Грибной,кг,337.4
Соус Гуакамоле,кг,130.0
Соус Деми - Глясс сухой,кг,406.5
Соус Кимчи,кг,94.3
Соус Кисло-сладкий,кг,95.8
Соус Нар - шараб,кг,274.2
Соус Овощной Окономи,кг,418.0
Соус Ореховый,кг,504.1
Соус Сальса,кг,34.6
Соус Табаско,кг,15.2
Соус Тартар,кг,343.5
Соус Терияки,кг,119.9
Соус Ткемали,кг,90.6
Соус Тобанджан (TOBAN DJAN),кг,63.3
Соус Тонкацу,кг,100.1
Соус Унаги,кг,170.0
Соус Устричный тайский,кг,12.4
Соус Французский,кг,525.0
Соус Хойсин,кг,33.2
Соус Цезарь,кг,525.0
Соус Чили,кг,91.9
Соус Чили сладкий,кг,180.7
Соус Чипотле,кг,25.0
Соус Шрирачи,кг,142.9
Соус Южный,кг,121.7
Соус бальзамический темный "Glassy",кг,12.0
Соус лимонный пряный,кг,384.7
Соус рыбный,кг,46.1
Соус сливовый,кг,90.6
Соус соевый,л,74.0
Соус сырный,кг,541.0
Соус томатный,кг,97.2
Спаржа,кг,21.3
Спаржа соевая сушеная,кг,440.0
Специи Анис,кг,239.0
Специи Апельсиновый перец Santa Maria,кг,239.0
Специи Ароматная смесь чили перцев Santa Maria,кг,238.5
Специи Бадьян,г,416.0
Специи Базилик сушеный,кг,239.0
Специи Барбарис,кг,239.0
Специи Ванилин,кг,0.0
Специи Вегетта (приправа),кг,137.4
Специи Гарам Масала (Приправа),кг,379.1
Специи Гвоздика,кг,239.0
Специи Горчицы семена,кг,239.0
Специи Зира,кг,239.0
Специи Кардамон,кг,239.0
Специи Карри (порошок),кг,239.6
Специи Копченая Паприка Santa Maria,кг,239.0
Специи Кориандр,кг,239.0
Специи Корица,кг,44.4
Специи Куркума,кг,239.0
Специи Лавровый лист,кг,239.0
Специи Лесной сбор Santa Maria,кг,291.0
Специи Мускатный орех,кг,349.9
Специи Мята сушеная,кг,239.0
Специи Орегано,кг,239.0
Специи Паприка,кг,315.8
Специи Паста & Базилико Santa Maria,кг,239.0
Специи Перец Кайенский,кг,423.0
Специи Перец Розе,кг,239.0
Специи Перец Чипотле,кг,200.4
Специи Перец белый,кг,60.5
Специи Перец душистый,кг,239.0
Специи Перец зеленый,кг,239.0
Специи Перец черный горошком,кг,73.3
Специи Перец черный молотый,кг,73.3
Специи Перец чили острый,кг,200.4
Специи Приправа Фахита Santa Maria,кг,239.0
Специи Приправа к Птице,кг,239.0
Специи Приправа к рыбе,кг,258.5
Специи Приправа по-корейски,кг,0.0
Специи Прованские травы,кг,345.0
Специи Пять перцев,кг,322.5
Специи Розмарин сушеный,кг,342.0
Специи Смесь для гриля Santa Maria,кг,159.9
Специи Смесь для плова,кг,239.0
Специи Смесь для шашлыка,кг,239.0
Специи Средиземноморские травы,кг,347.0
Специи Сумах,кг,239.0
Специи Тom Kha Santa Maria,кг,239.0
Специи Тикка Массала Santa Maria,кг,239.0
Специи Тимьян сушеный,кг,284.2
Специи Тмин,кг,443.0
Специи Укроп сушеный,кг,239.0
Специи Усянь Мянь (Смесь),кг,239.0
Специи Фахита,кг,357.0
Специи Фенхель семена,кг,239.0
Специи Хмели - сунели,кг,239.0
Специи Шалфей сушеный,кг,327.5
Специи Шафран,кг,239.0
Специи Эстрагон (Тархун) сушеный,кг,239.0
Специи Ягоды можжевельника,кг,239.0
Специи в ассортименте,кг,239.0
Специи для засолки,кг,0.0
Специи имбирь сухой молотый,кг,360.6
Специи смесь для WOK,кг,239.0
Спрайт,л,40.9
Спред 60% жирности,кг,542.4
Стакан бумажный 300 мл,шт,0.0
Стакан бумажный 500 мл,шт,0.0
Стакан прозрачный 250 мл,шт,0.0
Стерлядь тушка,кг,163.7
Судак филе с кожей,кг,83.5
Судак целый,кг,83.5
Суджук,кг,472.7
Сухари панировочные,кг,306.3
Сухари панировочные Панко,кг,381.2
Сухарики Хрус team багет,кг,447.3
Сухофрукты,кг,242.8
Сушки простые,кг,327.3
Сыворотка творожная,кг,19.0
Сыр Cheecorn сублимированный в ассортименте,кг,402.0
Сыр Moondarra в ассортименте,кг,303.0
Сыр Базирон Песто Вердэ,кг,370.0
Сыр Бри,кг,343.1
Сыр Буко (Buko),кг,265.2
Сыр Виола плавленный,кг,311.7
Сыр Гауда,кг,376.6
Сыр Голландский,кг,369.3
Сыр Горгонзолла,кг,310.0
Сыр Грана Падано,кг,384.0
Сыр Грюйер,кг,411.7
Сыр Дабл Крем Чиз,кг,258.3
Сыр Джугас,кг,415.7
Сыр Дор Блю,кг,341.0
Сыр Имеретинский Рассольный,кг,280.9
Сыр Камамбер,кг,303.0
Сыр Карат плавленный,кг,298.0
Сыр Козий Твердый,кг,319.2
Сыр Козий мягкий,кг,231.0
Сыр Комте,кг,401.6
Сыр Копченый (Германия),кг,263.0
Сыр Король Артур,кг,369.4
Сыр Костромской,кг,337.5
Сыр Маасдам,кг,369.3
Сыр Манчего,кг,477.0
Сыр Маскарпоне,кг,381.6
Сыр Моцарелла Ла Паулина,кг,332.6
Сыр Моцарелла рассольный,кг,257.1
Сыр Моцарелла твердый,кг,303.3
Сыр Мраморный,кг,353.0
Сыр Ноби,кг,346.0
Сыр Пармезан,кг,415.7
Сыр Плавленый Колбасный копченый,кг,263.0
Сыр Плавленый Российский,кг,331.0
Сыр Пошехонский,кг,342.5
Сыр Проволоне,кг,350.5
Сыр Рассольный Брынза,кг,252.5
Сыр Рассольный Сулугуни,кг,276.0
Сыр Рассольный Сулугуни (блины),кг,276.0
Сыр Рассольный Сулугуни (нити),кг,276.0
Сыр Рассольный сулугуни копченый,кг,276.0
Сыр Рикота,кг,116.0
Сыр Рокфор,кг,332.0
Сыр Российский,кг,353.0
Сыр Сливочный,кг,311.7
Сыр Тофу,кг,63.0
Сыр Фета,кг,250.2
Сыр Фетаки,кг,225.0
Сыр Чеддер,кг,368.5
Сыр Эдам,кг,340.8
Сыр Эмменталь,кг,364.8
Сырки глазированные,кг,412.2
Сырные палочки в панировке с/м,кг,310.5
Тарелка 10 см,шт,0.0
Тарелка 22 см,шт,0.0
Тарелка 30 см,шт,0.0
Тарелка суповая,шт,0.0
Творог жирный,кг,229.2
Творог нежирный,кг,84.6
Творог полужирный,кг,155.8
Текила,л,0.0
Телятина 1 категории,кг,96.8
Телятина Вырезка,кг,106.0
Терпуг филе с/м,кг,83.5
Тесто Фило,кг,292.8
Тесто слоеное,кг,411.7
Толстолоб филе с/м,кг,116.5
Толстолоб целый,кг,116.5
Томат-паста,кг,95.2
Томат-пюре,кг,61.6
Томат-пюре Mutti Pizza Sauce Classic,кг,31.9
Тоник,кг,36.0
Топпинг ванильный,кг,279.7
Топпинг карамельный,кг,299.3
Топпинг клубничный,кг,260.0
Топпинг кофейный,кг,284.8
Топпинг персиковый,кг,260.0
Топпинг черничный,кг,242.1
Топпинг шоколадный,кг,286.1
Торт Тирамису замороженный,шт,317.4
Торт Шоколадный трюфельный,шт,382.1
Торт со взбитыми сливками без фруктов, замороженный,кг,382.1
Торт со взбитыми сливками с фруктами, замороженный,кг,298.4
Тортеллини п/ф замороженные,кг,192.5
Торты пром. производства с отделками на основе взбитых сливок,кг,382.1
Треска потрошенная обезглавленная,кг,83.5
Треска филе,кг,83.5
Трюфельная паста,кг,99.7
Тунец консервированный в с/с,кг,96.3
Тунец стружка Бонито,кг,342.8
Тунец филе,кг,136.3
Тунец филе х/к,кг,137.9
Турша,кг,34.7
Тыква,кг,21.7
Тыквы семена,кг,572.5
Уголь активированный,кг,0.0
Угорь,кг,332.5
Угорь жареный в соусе унаги (Китай),кг,215.0
Украшения сахарные,кг,393.0
Уксус 3%,кг,0.0
Уксус 9%,кг,0.0
Уксус Винный,кг,0.0
Уксус Малиновый,кг,0.0
Уксус Херес,кг,0.0
Уксус бальзамический белый,кг,85.6
Уксус бальзамический темный,кг,85.6
Уксус рисовый,кг,54.0
Уксус яблочный,кг,3.7
Уксусная эссенция 70%,кг,0.0
Улитки по Бургундски с/м,кг,308.1
Улучшитель для дрожжевого теста,кг,195.1
Упаковка для детского набора картонная,шт,0.0
Упаковка для картофеля фри бумажная,шт,0.0
Упаковка для картофеля фри картонная,шт,0.0
Устрицы сырые,кг,49.1
Утиная грудка копченая,кг,126.7
Утка (тушка 1 категории),кг,405.2
Утка ножки,кг,352.0
Утка печень,кг,405.2
Утка филе грудки,кг,380.0
Утка филе грудки на кости,кг,352.0
Фазан,кг,252.0
Фасоль (стручок) с/м,кг,26.7
Фасоль бобы,кг,288.4
Фасоль консервированная (бобы),кг,92.0
Фасоль стручковая консервированная,кг,15.7
Фенхель свежий,кг,12.6
Физалис,кг,35.0
Финики сушеные,кг,287.0
Форель радужная с/м,кг,179.8
Фуа - гра (печень) утиная с/м,кг,552.0
Хариус тушка,кг,88.0
Хек,кг,86.2
Хлеб бородинский,шт,201.7
Хлеб для сэндвича пшеничный,кг,253.3
Хлеб для сэндвича ржаной,кг,201.7
Хлеб пшеничный формовой,шт,189.8
Хлебцы ржаные,кг,325.4
Хлопья рыбные,кг,374.0
Хрен готовый,кг,285.0
Хрен корень,кг,44.0
Хумус,кг,175.2
Хурма,кг,54.8
Цедра апельсина,кг,65.4
Цесарка,кг,252.0
Цикорий сырой,кг,18.6
Цукаты,кг,230.0
Чай Дарджилинг,кг,2.8
Чай Жень Шень Улун,кг,2.8
Чай Зеленый с жасмином,кг,2.8
Чай Каркаде,кг,141.9
Чай Молочный Улун,кг,141.9
Чай Мята,кг,2.8
Чай Наглый Фрукт,кг,141.9
Чай Ройбуш фруктовый,кг,141.9
Чай Ромашка,кг,2.8
Чай Цветки липы,кг,2.8
Чай Черный,кг,141.9
Чай Черный с чабрецом,кг,141.9
Чай Эрл Грей,кг,141.9
Чай зеленый Сенча,кг,2.8
Чайный лист,кг,141.9
Черева (оболочка для колбасок) обработанная (в соли),кг,207.0
Черемша,кг,34.9
Черемша маринованная,кг,41.3
Черешня,кг,50.4
Черника,кг,41.8
Чернила Каракатицы,кг,74.5
Чернослив без косточек,кг,242.8
Чеснок,кг,46.8
Чеснок Сушеный гранулированный,кг,107.2
Чеснок маринованный,кг,46.8
Чеснок стрелки,кг,46.8
Чечевица,кг,280.3
Чиабатта 250 грамм,шт,283.9
Чиабатта Биг Сэндвич 175*190 мм,шт,284.5
Чизкейк замороженный,кг,302.6
Чизкейк шоколадный,кг,333.8
Чизкейк ягодный замороженный,кг,333.8
Чипсы картофельные,кг,536.4
Чипсы креветочные (Китай),кг,352.8
Чипсы кукурузные,кг,474.2
Шарики хрустящие в шоколаде (Crispies gusto cacao),кг,425.1
Шелковица (плоды),кг,50.8
Шемайя азовская,кг,151.2
Шиповник сушеный,кг,219.4
Шишки Сосновые,кг,0.0
Шоколад без добавлений,кг,549.7
Шоколад белый,кг,558.5
Шоколад горячий растворимый (порошок),кг,358.4
Шоколад молочный,кг,558.5
Шоколад с целым и дробленым орехом,кг,586.5
Шпик свиной,кг,867.8
Шпик свиной соленый,кг,815.6
Шпикачки,кг,361.7
Шпинат,кг,22.3
Шпроты,кг,362.8
Штрудель фруктовый пром. производства,кг,260.5
Щавель,кг,18.0
Щука,кг,83.5
Экстракт жидкого дыма,кг,0.0
Яблоки,кг,44.4
Яблоки моченые,кг,44.4
Ягненок каре,кг,197.6
Ягоды ассорти с/м,кг,32.0
Язык Говяжий,кг,172.9
Язык баранины,кг,217.3
Язык свиной,кг,207.6
Яичный Лист,кг,374.2
Яичный порошок,кг,537.7
Яйца куриные,шт,157.1
Яйца куриные (белок),шт,36.0
Яйца куриные (желток),шт,338.9
Яйца перепелиные,шт,167.9
Яйца перепелиные маринованные,кг,165.0
Ячневая крупа,кг,311.0
