Ингредиент,Единица измерения,Калорийность
Грибы белые маринованные,кг,41.4
Грибы древесные черные сушеные (Китай),кг,293.6
Грибы опята маринованные,кг,41.4
Грибы сморчки сушеные (Китай),кг,163.5
Грибы сушеные (Ассорти),кг,154.0
Грибы устричные свежие или с/м,кг,26.6
Грибы шампиньоны маринованные,кг,41.4
Грудинка свиная копчено-запеченная,кг,514.3
Груша в сиропе,кг,60.4
Груша свежая,кг,42.3
Груша сушеная,кг,205.2
Гусь целый (обработанная тушка 1 категории),кг,411.8
Дайкон,кг,21.2
Джем из абрикосов,кг,277.2
Джем из апельсинов,кг,272.4
Джем из вишни,кг,265.0
Джем из малины,кг,240.2
Джем из черной смородины,кг,275.2
Джин,л,0.0
Дорадо тушки,кг,87.0
Драже сахарное,кг,392.0
Дрожжи прессованные,кг,75.1
Дрожжи сухие,кг,169.9
Дыня,кг,38.8
Ежевика,кг,25.6
Желатин листовой,кг,344.5
Желатин пищевой,кг,355.2
Желе из красной смородины,кг,285.6
Жир бараний (Курдючный),кг,840.8
Жир говяжий (сырец),кг,897.3
Жир кондитерский для шоколадных изделий, конфет и пищевых концентратов,кг,897.3
Жир свиной,кг,897.3
Жир утиный,кг,897.3
Жировая сетка (Прятине),кг,867.8
Заяц тушка обработанный,кг,183.4
Зелень Кинза (Кориандр),кг,32.8
Зелень Крапива,кг,32.8
Зелень Мята,кг,42.7
Зелень Петрушка,кг,50.4
Зелень Розмарин,кг,32.8
Зелень Руккола,кг,32.8
Зелень Салат,кг,17.0
Зелень Тимьян,кг,32.8
Зелень Укроп,кг,30.9
Зелень Шалфей,кг,32.8
Зелень Эстрагон,кг,32.8
Зелень базилик,кг,32.8
Зелень бамбуковый лист,кг,32.8
Зефир,кг,316.4
Изделие кондитерское, обогащенное железом (гемоглобином),кг,456.4
Изюм,кг,271.2
Икра Белужья зернистая,кг,236.6
Икра Лососевая,кг,250.6
Икра Осетровая зернистая,кг,202.9
Икра из баклажан (пром. производства),кг,146.9
Икра из кабачков (пром. производства),кг,123.2
Икра кетовая,кг,248.8
Икра летучей рыбы Красная,кг,280.6
Икра летучей рыбы Оранжевая,кг,280.6
Икра летучей рыбы Черная,кг,280.6
Икра летучей рыбы зеленая (Вассабико),кг,498.1
Икра минтаевая пробойная,кг,130.7
Икра мойвы,кг,296.4
Икра судака свежая,кг,88.0
Имбирь маринованный (для роллов, суши),кг,15.5
Имбирь свежий (корень),кг,77.1
Индейка Филе грудки,кг,104.8
Индейка сыровяленная, копченая,кг,198.0
Индейка целая (тушка 1 категории),кг,276.0
Инжир,кг,49.4
Инжир сушеный,кг,240.4
Ирис полутвердый,кг,407.9
Йогурт 1,5% жирности,кг,47.5
Йогурт 1,5% жирности сладкий,кг,67.5
Йогурт 3,2% жирности,кг,62.8
Йогурт 3,2% жирности сладкий,кг,82.8
Йогурт 6% жирности,кг,88.0
Йогурт 6% жирности сладкий,кг,108.0
Кабан мякоть,кг,116.0
Кабачки, Цуккини,кг,24.7
Какао порошок,кг,365.9
Кактус маринованный,кг,31.4
Кальмар Банно-Монго,кг,75.3
Кальмар копченый,кг,191.0
Кальмар филе с кожицей с/м,кг,109.8
Камбала азово-черноморская неразделанная,кг,84.5
Каперсы маринованные,кг,23.9
Капуста Пекинская (Китайская),кг,26.9
Капуста белокочанная,кг,26.9
Капуста белокочанная квашенная,кг,16.0
Капуста брокколи,кг,32.9
Капуста брюссельская свежемороженая,кг,42.8
Капуста морская сушеная,кг,150.0
Капуста по - грузински,кг,26.9
Капуста савойская,кг,26.9
Капуста цветная,кг,30.7
Каракатица разделанная,кг,109.8
Карамбола,кг,34.1
Карамель,кг,383.7
Карась речной,кг,87.0
Карбонат копченый,кг,468.6
Кармашки кукурузные Тако,кг,458.0
Карп, сазан,кг,116.5
Картофель,кг,76.8
Картофель п/ф мороженный,кг,145.0
Картофельное пюре сухое,кг,340.6
Картофельные дольки п/ф с/м,кг,145.0
Каштаны,кг,178.7
Квас хлебный,л,20.8
Кетчуп томатный,кг,121.7
Кеты соломка вяленая,кг,271.0
Кефир жирный,кг,56.4
Кефир нежирный,кг,27.7
Киви,кг,51.3
Кижуч вяленый слайсы,кг,271.0
Килька соленая,кг,136.8
Кирш (вишневая водка),кг,0.0
Кислота лимонная,кг,0.0
Клубника,кг,32.0
Клыкач х/к (балык),кг,169.4
Клюква,кг,17.2
Козлобородник корень,кг,76.2
Кока-кола,л,41.6
Кокосовая стружка,кг,606.0
Кокосовое молоко,кг,163.0
Колбаса Вареная Говяжья,кг,165.3
Колбаса Вареная Докторская,кг,257.0
Колбаса Вареная Молочная,кг,252.0
Колбаса Пеппероне,кг,472.7
Колбаса Полукопченая Краковская,кг,466.2
Колбаса Полукопченая Охотничьи колбаски,кг,462.8
Колбаса Салями,кг,438.4
Колбаса Салями Милано,кг,438.4
Колбаса Сырокопченая,кг,472.7
Колбаса Сырокопченая Сервелат,кг,460.5
Колбаса Чоризо,кг,448.3
Колбаса п/к Сервелат,кг,425.3
Колбаска белая н/о Улитка,кг,351.0
Колбаски Вайсвурст для жарки,кг,261.0
Колбаски из говядины с вялеными помидорами,кг,399.0
Колбаски из телятины с кизилом,кг,261.0
Колбаски из ягнятины,кг,399.0
Колбаски куриные с вялеными помидорами,кг,360.0
Кольца кальмара в панировке с/м,кг,396.5
Конина мякоть,кг,127.0
Конина сыровяленная,кг,146.0
Конфеты M&M,кг,474.7
Конфеты Рафаэлло,кг,555.4
Конфеты Шоколадные с комбинированными корпусами (Глазированные шоколадом),кг,425.8
Конфеты Шоколадные с пролиновыми корпусами (Глазированные шоколадом),кг,561.9
Конфеты Шоколадные с шоколадно-ореховыми корпусами (Глазированные шоколадом),кг,555.4
Конфеты помадные,кг,384.6
Конфитюр, джем,кг,132.0
Концентрат  соуса карри "Ява",кг,499.4
Концентрат Каке Каэши,кг,96.0
Концентрат напитка "Золотой Шар" на сахаре,кг,373.2
Концентрат соус Буккае Каэши,кг,124.0
Концентрат соуса Карри "Вермонт",кг,543.5
Коньяк (бренди),л,0.0
Коппа (Сыровяленная свиная шейка),кг,605.3
Корейка свиная копчено-запеченная без кости,кг,474.6
Корж вафельный,кг,304.4
Корж для пиццы, сырой,кг,304.4
Корзиночка (тарталетка) из песочного теста,кг,433.8
Корнишоны маринованные,кг,10.5
Коробка картонная,шт,0.0
Кости свинокопченостей,кг,216.0
Косуля мякоть,кг,138.4
Котлета для гамбургера с/м,кг,106.3
Кофе натуральный в капсулах,шт,196.4
Кофе натуральный обжаренный,кг,196.4
Кофе растворимый,кг,76.4
Кофейный напиток (сухой концентрат из цикория),кг,56.2
Краб камчатский (ножки в панцире) в/м,кг,96.4
Краб камчатский в/м (мякоть),кг,96.4
Краб консервированный,кг,85.1
Крабовые палочки (Сурими),кг,70.0
Краситель пищевой,кг,0.0
Крахмал Sakura (Япония),кг,357.2
Крахмал картофельный,кг,318.8
Крахмал кукурузный,кг,350.2
Креветка Ама Эби в/м разделанная,кг,82.3
Креветки  Гигантские с/м,кг,95.4
Креветки Королевские в/м,кг,97.7
Креветки антарктические консервированные,кг,81.1
Креветки в панцире варено-мороженные,кг,97.7
Креветки в/м очищенные,кг,97.7
Креветки вяленые,кг,271.0
Креветки тигровые без головы,кг,95.4
Креветки тигровые с/м,кг,284.4
Крекеры из муки высшего сорта,кг,428.1
Креманка 300 грамм,шт,0.0
Креманка 600 грамм,шт,0.0
Креманка десертная кристалл,шт,0.0
Кролик ножки,кг,183.4
Кролик сыровяленный,кг,188.0
Кролик тушка,кг,183.4
Круассан без наполнителя,кг,383.7
Крыжовник,кг,41.0
Крылышки куриные маринованные п/ф,кг,184.6
Ксантановая Смола (Xanthan Gum),кг,2.0
Кукуруза в початках,кг,115.9
Кукуруза в початках консервированная,кг,57.2
